time_iso8601,stars_cumulative
2024-07-13 00:00:00+00:00,2563
2024-07-14 00:00:00+00:00,2569
2024-07-15 00:00:00+00:00,2576
2024-07-16 00:00:00+00:00,2578
2024-07-17 00:00:00+00:00,2585
2024-07-18 00:00:00+00:00,2588
2024-07-19 00:00:00+00:00,2593
2024-07-20 00:00:00+00:00,2596
2024-07-21 00:00:00+00:00,2599
2024-07-22 00:00:00+00:00,2603
2024-07-23 00:00:00+00:00,2609
2024-07-24 00:00:00+00:00,2612
2024-07-25 00:00:00+00:00,2617
2024-07-26 00:00:00+00:00,2620
2024-07-27 00:00:00+00:00,2623
2024-07-28 00:00:00+00:00,2626
2024-07-29 00:00:00+00:00,2631
2024-07-30 00:00:00+00:00,2637
2024-07-31 00:00:00+00:00,2645
2024-08-01 00:00:00+00:00,2652
2024-08-02 00:00:00+00:00,2659
2024-08-03 00:00:00+00:00,2661
2024-08-04 00:00:00+00:00,2665
2024-08-05 00:00:00+00:00,2669
2024-08-06 00:00:00+00:00,2673
2024-08-07 00:00:00+00:00,2679
2024-08-08 00:00:00+00:00,2682
2024-08-09 00:00:00+00:00,2687
2024-08-10 00:00:00+00:00,2690
2024-08-11 00:00:00+00:00,2694
2024-08-12 00:00:00+00:00,2699
2024-08-13 00:00:00+00:00,2704
2024-08-14 00:00:00+00:00,2730
2024-08-15 00:00:00+00:00,2739
2024-08-16 00:00:00+00:00,2741
2024-08-17 00:00:00+00:00,2749
2024-08-18 00:00:00+00:00,2754
2024-08-19 00:00:00+00:00,2760
2024-08-20 00:00:00+00:00,2767
2024-08-21 00:00:00+00:00,2772
2024-08-22 00:00:00+00:00,2779
2024-08-23 00:00:00+00:00,2782
2024-08-24 00:00:00+00:00,2788
2024-08-25 00:00:00+00:00,2792
2024-08-26 00:00:00+00:00,2799
2024-08-27 00:00:00+00:00,2801
2024-08-28 00:00:00+00:00,2809
2024-08-29 00:00:00+00:00,2814
2024-08-30 00:00:00+00:00,2825
2024-08-31 00:00:00+00:00,2837
2024-09-01 00:00:00+00:00,2848
2024-09-02 00:00:00+00:00,2856
2024-09-03 00:00:00+00:00,2868
2024-09-04 00:00:00+00:00,2875
2024-09-05 00:00:00+00:00,2884
2024-09-06 00:00:00+00:00,2887
2024-09-07 00:00:00+00:00,2894
2024-09-08 00:00:00+00:00,2903
2024-09-09 00:00:00+00:00,2905
2024-09-10 00:00:00+00:00,2913
2024-09-11 00:00:00+00:00,2914
2024-09-12 00:00:00+00:00,2924
2024-09-13 00:00:00+00:00,2932
2024-09-14 00:00:00+00:00,2939
2024-09-15 00:00:00+00:00,2943
2024-09-16 00:00:00+00:00,2948
2024-09-17 00:00:00+00:00,2950
2024-09-18 00:00:00+00:00,2955
2024-09-19 00:00:00+00:00,2959
2024-09-20 00:00:00+00:00,2962
2024-09-21 00:00:00+00:00,2968
2024-09-22 00:00:00+00:00,2975
2024-09-23 00:00:00+00:00,2986
2024-09-24 00:00:00+00:00,3000
2024-09-25 00:00:00+00:00,3003
2024-09-26 00:00:00+00:00,3008
2024-09-27 00:00:00+00:00,3014
2024-09-28 00:00:00+00:00,3020
2024-09-29 00:00:00+00:00,3026
2024-09-30 00:00:00+00:00,3034
2024-10-01 00:00:00+00:00,3037
2024-10-02 00:00:00+00:00,3050
2024-10-03 00:00:00+00:00,3058
2024-10-04 00:00:00+00:00,3062
2024-10-05 00:00:00+00:00,3066
2024-10-06 00:00:00+00:00,3075
2024-10-07 00:00:00+00:00,3090
2024-10-08 00:00:00+00:00,3104
2024-10-09 00:00:00+00:00,3113
2024-10-10 00:00:00+00:00,3120
2024-10-11 00:00:00+00:00,3128
2024-10-12 00:00:00+00:00,3137
2024-10-13 00:00:00+00:00,3149
2024-10-14 00:00:00+00:00,3158
2024-10-15 00:00:00+00:00,3167
2024-10-16 00:00:00+00:00,3172
2024-10-17 00:00:00+00:00,3177
2024-10-18 00:00:00+00:00,3189
2024-10-19 00:00:00+00:00,3191
2024-10-20 00:00:00+00:00,3200
2024-10-21 00:00:00+00:00,3207
2024-10-22 00:00:00+00:00,3215
2024-10-23 00:00:00+00:00,3218
2024-10-24 00:00:00+00:00,3221
